,ID,file,dataset,area,genotype,node,base_x,base_y,tip_x,tip_y
202,1100,1100-680.jpg,apple,16.189,Malus domestica,NA,3171,5439,2380.5,2055.5
203,1100,1100-681.jpg,apple,16.155,Malus domestica,NA,4912.5,5998.5,4648.5,2142.5
204,1100,1100-682.jpg,apple,14.229,Malus domestica,NA,6230,6355,6568.5,2715.5
205,1100,1100-683.jpg,apple,19.375,Malus domestica,NA,1715,4415,1399.5,8859.5
206,1100,1100-684.jpg,apple,14.857,Malus domestica,NA,4058,4974,3569.5,8749.5
207,1100,1100-685.jpg,apple,13.997,Malus domestica,NA,5739,5168,5348.5,8485.5
208,1100,1100-686.jpg,apple,13.094,Malus domestica,NA,7124.5,5401.5,7013.5,8840.5
209,1104,1104-805.jpg,apple,17.489,Malus domestica,NA,3837,357,7630.5,1502.5
210,1104,1104-806.jpg,apple,16.403,Malus domestica,NA,5732,1676,1956.5,1330.5
211,1104,1104-807.jpg,apple,20.877,Malus domestica,NA,807,5518,1629.5,1859.5
212,1104,1104-810.jpg,apple,17.713,Malus domestica,NA,5804,5517,7141.5,2605.5
213,1104,1104-811.jpg,apple,23.049,Malus domestica,NA,7150,4887,6786.5,8905.5
214,1104,1104-812.jpg,apple,23.169,Malus domestica,NA,3336.5,5139.5,2860.5,9021.5
